title,category,tags,cookTime,ingredients,instructions,notes,rating
Buffalo Chicken Taquitos,Meals - Lunch/Dinner,,,"Rotisserie chicken
1.5 cups Buffalo sauce
4 cups shredded mozzarella
Seasonings: garlic powder, paprika, etc (whatever you want)
35 corn tortillas (geez that’s a lot)
Ranch to dip
Tortillas","Mix everything but the tortillas in a bowl
Cover and cook tortillas in microwave for 30ish seconds
TAQUITOS ASSEMBLE
The recipe said to deep fry in oil but we are better than that so use the airfryer
Give mason a kiss",,
Buffalo Ranch Chicken Sandwich,Meals - Lunch/Dinner,,,"Bowl 1: 1.25 tbsp flour, salt, garlic powder, paprika
Bowl 2: 1 egg, 1 tbsp buffalo sauce
Bowl 3: panko (someone added crushed quest ranch chips also)
Sauce: 3 tbsp butter, lil drizzle of honey, 4-5 tbsp of buffalo sauce
Chicken boobs
Ranch
Buns (other than mine you freak)","Make bowls with respective ingredients
Dip in order of bowls
Air fry @ 375˚F for 10 minutes
Dip in sauce and air fry for an extra 3-4 minutes
Slap it on a bun and put some ranch on it and enjoy!"," You sent me a tik tok about this and it looked fire. Update will come when we finally make it. UPDATE: On 12/16/21, we went to Veterans’ Park and played soccer just to get an outdoor workout in. I had so much fun just messing around with you out there. We came back to my place and I decided to make this for us because I somehow had all the ingredients here and it gave me a chance to add an update to this recipe. Your face in the picture shows exactly how you felt about me taking the pic but too bad bc it’s for the greater good and you’ll appreciate this in the future. :) luv u",
Buffalo Shrimp Lettuce Wraps,Meals - Lunch/Dinner,,,"1 tablespoon extra-virgin olive oil
1 pound peeled and deveined large shrimp, chopped
2 garlic cloves, minced
⅓ cup hot sauce
1 head romaine or butter lettuce, leaves separated, for serving (12 leaves)
¼ cup red onion, finely chopped
1 rib celery, sliced thin
½ cup light blue cheese or ranch dressing, homemade or jarred
chopped chives, optional garnish","In a large skillet over medium heat, heat oil. Add shrimp and garlic. Cook, flipping halfway, until pink and opaque on both sides, about 2 minutes per side. Turn off heat and add the hot sauce, tossing to coat.
Assemble wraps: Add scant 1/4 cup of shrimp to the center of a romaine leaf, then top with dressing, red onion, celery and chives.", You sent me a tik tok about this and it looked fire. Update will come when we finally make it.,
Chicken Bacon Ranch Quesadilla,Meals - Lunch/Dinner,,,"Chicken
Ranch seasoning
Onion powder
Parsley
¾ cup cheddar cheese
½ cup greek yogurt
3 diced bacon strips","Season chicken with ranch seasoning, onion powder, parsley
Air fry 400 for 12-15 min
Chop up chicken and mix in: cheese, yogurt, bacon, 1 tbsp ranch seasoning
Put it on tortillas and cook a bit",,
Chicken Fricassee,Meals - Lunch/Dinner,,,"2 pounds boneless chicken breasts
1 teaspoon kosher salt
1/2 teaspoon black pepper
1 tablespoon butter
1 tablespoon olive oil
1 onion finely chopped – (about to 1 cup)
1 lbs. Portobello mushrooms cleaned, trimmed, and sliced
1/4 cup dry white wine such as Sauvignon blanc
1 tablespoon all-purpose flour
2 cloves garlic minced
1 1/2 cup chicken stock
Sauce
For the sauce
1/3 cup sour cream
1 egg yolk
1/2 teaspoon freshly ground nutmeg
2 teaspoons lemon juice freshly squeezed
2 teaspoons tarragon minced (If you can’t find tarragon, you can use parsley)","Pat dry chicken breasts with paper towels and season them generously with 1 teaspoon salt and 1/2 teaspoon black pepper.
Heat butter and olive oil in a large skillet. Place chicken breasts and cook each side for 4 minutes, in medium high heat. At this point they will not be cooked thoroughly.
Place them on a plate, cover with aluminum foil and set aside.
Add the mushrooms, onions, and white wine to same skillet and cook for 8-10 minutes, stirring occasionally, until mushrooms are browned.
Add garlic and flour and give it a generous stir. Cook for 1 minute.
Add chicken broth; scrape the bottom to loosen the brown bits and cook until the broth is boiling.
Add the chicken and all the juices in the plate and cover it with a lid. Cook in medium heat, until the chicken registers 160 F. degrees when a thermometer is inserted in the middle. This will take 5 to 10 minutes.
In the meantime, whisk the egg yolk and sour cream in a small bowl.
Take the chicken breasts out and place it on a platter. Cover it with aluminum foil. Set aside.
Measure 1/2 cup of the mushroom sauce and stir it into the sour cream and egg mixture. Mix.
Stirring constantly, slowly pour the mixture into the skillet. Stir in the lemon juice, tarragon, and nutmeg. Let it simmer for 5 minutes.
Taste it for seasoning and add more, if necessary.
To serve, place a chicken breast on a plate and pour the sauce over it. Sprinkle it with more tarragon.",,
Chicken Taquitos,Meals - Lunch/Dinner,,,"Shredded, cooked chicken breast
2 tbsp of cream cheese
1 tsp garlic
¼ cup of mexican blend cheese
½ tsp oregano
½  tsp chili powder
1 tsp of onion powder
½ tsp smoked paprika
¼ tsp black pepper
½ tsp cumin
⅓ cup oaxaca cheese (or monterey)
tortillas","Preheat oven to 390˚F
Mix ingredients and roll into taquitos
Cook for about 10ish minutes", First time we had this was 8/10/2021. We needed something quick and easy before we went to Cucos. I whipped this up as you were heading over after donating plasma and we were in a rush so we had to eat it in your car. I didn't have the right cheeses or chili powder so I substituted it for mozzarella cheese and cayenne. I also didn’t have any pics of it so I decided to add a picture of me that looks like a chicken taquito.,
Chicken Tenders,Meals - Lunch/Dinner,,,"1 large egg (or 1/3 cup egg substitute)
1 tablespoon prepared mustard
1 garlic clove, minced
3/4 cup dry bread crumbs
2 teaspoons dried basil
1 teaspoon paprika
1/2 teaspoon salt
1/4 teaspoon pepper
1 pound chicken tenderloins","preheat your oven to 400°F
in a shallow bowl or pan, combine the egg, mustard and minced garlic with a whisk. In another shallow bowl or pan, mix the bread crumbs, basil, paprika, salt and pepper
Dip in egg mixture first then breadcrumbs
Cook 10-15 minutes",,
Creamy Garlic Salmon Bites,Meals - Lunch/Dinner,,,"Salmon
2 salmon filets (6 ounces each), skin removed
1 tablespoon olive oil
1 tablespoon fresh lime juice, 1-2 limes, squeezed
½ teaspoon garlic, minced
½ teaspoon paprika
¼ teaspoon kosher salt
¼ teaspoon black pepper
Garlic Sauce
4 tablespoons (½ stick) unsalted butter
¼ cup heavy cream
2 tablespoons garlic, minced
1 tablespoon fresh parsley, minced
¼ teaspoon kosher salt
¼ teaspoon black pepper","Preheat the air fryer to 390°F. Spray the basket of the air fryer with nonstick cooking spray.
Use a paper towel to pat the salmon filets dry. Use a sharp knife to cut each filet into 1-inch squares.
In a medium bowl combine olive oil, lime juice, garlic, paprika, salt, and pepper.
Pour the mixture over the salmon bites and gently toss to coat.
Working in batches, place the salmon bites in an even layer in the basket of your air fryer. (Do not overcrowd.) Air fry for 4-5 minutes. Flip and repeat on the opposite side, or until the salmon reaches an internal temperature of 140-145°F. Place the cooked salmon in a bowl.
While salmon is cooking, prepare the garlic sauce.
In a medium saucepan over medium heat, add butter, heavy cream, garlic, parsley, salt, and pepper. Stir together until the butter is melted and the mixture is fully combined and heated through (4-5 minutes).
Pour the garlic cream sauce over salmon bites and serve over mashed potatoes or rice.",,
Garlic Butter Chicken Tenders,Meals - Lunch/Dinner,,,"1 tbsp olive oil
2 tbsp butter divided
1 pound chicken tenderloins
2 tsp paprika
½ tsp salt
¼ tsp ground black pepper
4 cloves garlic minced
1 tspItalian seasoning
1 tbsp fresh parsley chopped – for garnish","Add olive oil and 1 tbsp of butter in a pan over medium-high heat
Season chicken with paprika and s+p, add to pan, and cook for 3 minutes each side
Make room for the garlic, melt the remaining butter, and add the garlic. Cook for 30 seconds or until the garlic becomes fragrant.
Season with Italian seasoning, and cook for one more minute.
Add 2 tablespoons of water to the pan to deglaze it, and scrape off any bits stuck to the bottom of the pan (that’s where all of the good flavor is).
Garnish with chopped fresh parsley or basil leaves, and serve warm.", I made this for us before a staff meeting on 10/17 because we wanted to eat before our picnic at POV. This was also the night when I came over you had the pics of us in a heart on your bed and my heart exploded. I love you :),
Garlic Parmesan Wings,Meals - Lunch/Dinner,,,"Some chicken wings
Seasonings: kosher salt, garlic powder, pepper, chili powder
Sauce:
½ butter stick
10 cloves of minced garlic
1 tsp dried oregano
1 tsp dried thyme
1 tsp chili powder
¼ -½ cup Parmesan
Main sauce
1 cup mayo
Garlic butter + herbs sauce from above
1 tsp pepper
1 tbsp kosher salt
⅛ cup water
1 tbsp corn syrup or 2 tsp sugar (for taste)","Air fry seasoned chicken wings for 17 minutes at 400˚F
In a pot, add the shit for the sauce and cook for abt 2 minutes. Add parmesan after
Mix together the main sauce stuff
Toss in the chicken wings and enjoy :)",,
General Tso’s Chicken,Meals - Lunch/Dinner,,,¼,Heat, Ide,
Greek Chicken,Meals - Lunch/Dinner,,,"1 cup whole milk Greek yogurt
1 teaspoon lemon zest
1/4 cup lemon juice
3 tablespoons olive oil
3 cloves garlic cloves minced
½ teaspoon onion powder
1 teaspoon ground cumin
1 teaspoon dried oregano
1 teaspoon paprika
1 teaspoon parsley
1 teaspoon kosher salt
½ teaspoon black pepper
1 ½ lb. chicken breast","Mix everything in a bowl
Place chicken in bowl, fully submerged
Cover with plastic wrap and place in the fridge for at least 4 hours or preferably overnight for up to 12 hours.
When you are ready to cook, remove the chicken from the marinade onto a plate, making sure to scrape off any excess marinade. Season chicken pieces lightly with ½ teaspoon salt and ¼ teaspoon pepper on each side. Discard the marinade.
To Cook on the Grill:
Preheat a gas grill to medium-high heat (450 degrees F).
Clean grill grates and generously brush with vegetable oil.
Grill chicken thighs for 8-10 minutes, turning once until the internal temperature reaches 165 degrees when a thermometer is inserted in the thickest part of the meat.
Transfer the now cooked chicken onto a plate, cover with aluminum foil and let it rest for 5-7 minutes before serving.
To Cook in the Oven
Preheat the oven to 425 degrees F. Line a sheet pan with parchment paper and set it aside.
Place chicken thighs on the sheet and bake for 18-22 minutes or until a thermometer inserted into the meat registers 165 degrees F.
Remove from the oven and onto a plate. Cover with aluminum foil and let them rest for 5 minutes before slicing and/or serving.
To Cook on the Stove
Heat 1 tablespoon of vegetable oil in a large skillet (10 or 12-inch cast iron skillet or a skillet grill is ideal) over medium-high heat.
When it is simmering hot, place the chicken pieces in the skillet, making sure not to overcrowd the pan.
Cook, turning once until they are fully cooked, 10-12 minutes, or until a digital thermometer inserted in the center of a thigh registers 165 degrees F.
Remove the chicken thighs from the skillet and onto a plate; cover with aluminum foil and let it rest for 5-10 minutes before serving.",,
Honey Garlic Pork Chops,Meals - Lunch/Dinner,,,"4 pork chops bone in or out
Salt and pepper, to season
1 teaspoon garlic powder
2 tablespoons olive oil
1 tablespoon unsalted butter
6 cloves garlic, minced
1/4 cup honey
1/4 cup water (or chicken broth)
2 tablespoons rice wine vinegar (or apple cider vinegar, or any white vinegar)","Preheat oven broiler (or grill) on medium-high heat. Season chops with salt, pepper and garlic powder just before cooking.
Heat oil in a pan or skillet over medium high heat until hot. Sear chops on both sides until golden and cooked through (about 4-5 minutes each side). Transfer to a plate; set aside.
Reduce heat to medium. Melt butter in the same pan, scraping up any browned bits from the bottom of the pan. Sauté garlic until fragrant (about 30 seconds). Add the honey, water and vinegar. Increase heat to medium-high and continue to cook until the sauce reduces down and thickens slightly (about 3-4 minutes), while stirring occasionally.
Add pork back into the pan, baste generously with the sauce and broil/grill for 1-2 minutes, or until edges are slightly charred.
Garnish with parsley and serve over vegetables, rice, pasta or with a salad.
Baked Pork Chops:
Preheat oven to 390°F | 200°C.
R4Sear seasoned chops in a hot oven-proof pan or skillet over medium-high for 2 minutes per side -- get them crisp.
Remove chops and make your sauce following the recipe above (Step 3).
Baste with sauce and bake in the oven for about 10-15 minutes, or until reaching your desired doneness.
Broil/grill for 2 minutes to get those caramelized edges!",,
Honey Garlic Shrimp,Meals - Lunch/Dinner,,,"1/3 cup honey
1/4 cup soy sauce
2 garlic cloves, minced (or 1 Tablespoon jarred minced garlic)
Optional: 1 teaspoon minced fresh ginger
1 lb medium uncooked shrimp, peeled & deveined
2 teaspoons olive oil","Mix honey, soy sauce, garlic, and ginger together in a medium bowl. You will use half for the marinade in step 2 and half for cooking the shrimp in step 3.
Place shrimp in a large sealable container or zipped-top bag. Pour 1/2 of the marinade/sauce mixture on top, give it all a shake or stir, then allow shrimp to marinate in the refrigerator for 15 minutes or for up to 8-12 hours. Cover and refrigerate the rest of the marinade for step 3. (Time-saving tip: while the shrimp is marinating, we usually steam broccoli and microwave some quick brown rice.)
Heat olive oil in a skillet over medium-high heat. Place shrimp in the skillet. (Discard used marinade.) Cook shrimp on one side until pink, about 45 seconds, then flip shrimp over. Pour in remaining marinade/sauce and cook it all until shrimp is cooked through, about 1-2 more minutes.
Serve shrimp with cooked marinade sauce and a garnish of green onion. The sauce is excellent on brown rice and steamed vegetables on the side.",,
Honey Soy Chicken,Meals - Lunch/Dinner,,,"Chicken
Cornstarch
Honey
Soy sauce
Garlic (and ginger)
Salt, pepper,","Season chicken then coat in cornstarch
Pan sear both sides of it, remove
Combine soy sauce, honey, ginger and garlic in the empty pan
Let that simmer for a sec then add chicken back in",,
Honey Sriracha Ground Chicken and Broccoli,Meals - Lunch/Dinner,,,"Olive Oil
12 oz Broccoli Florets, cut into bite-size pieces
1 lb Ground Chicken/turkey
1/4 C Sweet Chili Sauce
2 tbsp Honey
2 tbsp Sriracha
2 tbsp Soy Sauce
1 tbsp Toasted Sesame Oil
1 tsp Garlic Powder
1 tsp Ground Ginger
Sesame Seeds and Green Onion, for garnish
Rice","Heat 1/2 Tbsp of olive oil in a large skillet over medium-high heat. Add the broccoli and leave untouched for 1-2 minutes to develop some browning on one side. Stir and continue cooking until the broccoli is a dark green, about 3-4 minutes longer. Transfer to a plate and set aside.
Add the remaining olive oil to the skillet and brown both sides of the ground chicken before mincing and fully cooking.
While the chicken cooks, mix the remaining sauce ingredients together. Add the sauce to the fully cooked chicken and cook until thick. Be careful not to burn.
Once the sauce is thick, add the broccoli back to the skillet and stir everything together. Garnish with sesame seeds and green onion before serving.
Serve with rice",,
Jalapeno Cream Cheese Stuffed Chicken,Meals - Lunch/Dinner,,,"Chicken Boobs
Oil first, Garlic powder, paprika, cayenne, s+p
Filling (this is what the recipe says but it doesn't make enough so just eyeball honestly)
3 tbsp of cream cheese
1 jalapeno
2 tbsp fresh dill
½ tbsp lime juice","Make pocket pussies out of the chicken boobs
Stuff those pocket chicken boob pussies
Sear on high heat pan for 2-3 minutes each side and add some lime juice bc why not
Cover it and cook on “low” for 8-10 minutes", I made this for us one night at Cooner but I didn’t take a picture of it :( Anyways it was pretty good. I served it rice and I think brussel sprouts and honestly it's a lot of food but enjoy! :),
Juicy Chicken,Meals - Lunch/Dinner,,,"4 6 oz chicken breast
⅓ cup Greek yogurt
4 minced garlic cloves
1 tbsp lemon juice
2 tsp paprika
1 tsp garlic powder
½ tsp onion powder
½ tsp oregano
1 tsp salt
½ tsp black pepper","Dry and pound chicken
Add yogurt and seasonings and let it marinate for 30 minutes to 24 hours
Preheat air fryer to 375°F and cook for 8 minutes. Flip and cook for another 4-7 minutes
Enjoy :)", Apparently since you use yogurt for cooking you don’t need oil. interesting,
Lemon Crusted Chicken,Meals - Lunch/Dinner,,,"cooking spray
salt
black pepper
2 chicken breasts, pounded to even thickness (14 oz total)
1 egg, beaten
1 cup panko bread crumbs
1 tsp lemon pepper seasoning
1 tbsp olive oil
½ lemon, juiced","Preheat oven to 450F. Spray a wire rack with cooking spray and place on top of a baking sheet lined with foil.
Rub salt and black pepper on both sides of chicken.
Place egg in a bowl. Mix panko, lemon pepper seasoning, and oil in another bowl.
Coat chicken in egg, then in panko mixture, then place on wire rack. Bake until cooked through, about 20-25 minutes.
To serve, sprinkle with lemon juice on top.",,
Lemon Herb Chicken,Meals - Lunch/Dinner,,,"2 boneless chicken breasts
1/4 cup olive oil
1/4 cup freshly squeezed lemon juice
2 garlic cloves, minced
1 tbsp chopped fresh rosemary
1 tbsp chopped fresh thyme
1 tbsp chopped fresh oregano
Salt and pepper, to taste
Grilled vegetables (optional)","In a small mixing bowl, whisk together the olive oil, lemon juice, garlic, rosemary, thyme, and oregano until well combined.
Place the chicken breasts in a large resealable plastic bag and pour the marinade over them. Seal the bag and gently massage the chicken to make sure it is fully coated in the marinade. Marinate the chicken in the refrigerator for at least 1 hour, or up to 4 hours.
Preheat the grill to medium-high heat.
Remove the chicken from the marinade and discard the remaining marinade. Season the chicken with salt and pepper to taste.
Place the chicken on the grill and cook for 6 to 8 minutes per side, or until the chicken is fully cooked through and no longer pink in the center.
Remove the chicken from the grill and let it rest for a few minutes before serving.
Serve the grilled chicken with grilled vegetables, if desired",,
Marry Me Chicken,Meals - Lunch/Dinner,,,"2 large chicken breasts
½ cup flour
½ tsp: salt, pepper, paprika, garlic powder
2 tbsp oil
2 tbsp butter
2 tbsp minced garlic
1 cup chicken broth
1 cup heavy cream
1 cup parmesan cheese
1 tsp red pepper flakes
½ tsp: oregano, thyme
⅓ cup chopped sun dried tomatoes
19 oz bag of tortellini","Mix together flour, salt, pepper, garlic and paprika and cover the chicken with it
Heat oil and butter in a medium heat pan
Cook the chicken and remove
Add garlic, SDT, and broth to the pan
Lower heat and add heavy cream and parmesan cheese
Add the RPF, oregano, and thyme
Mix with cooked tortellini and the chicken",,
McChicken,Meals - Lunch/Dinner,,,"Chicken boobs
Optional: blend w egg, salt, pepper
Batter
½ cup corn starch
Salt, pepper
Garlic powder
Paprika
Ground mustard
Buns
Shredded lettuce
Mayo","Coat those chicken boobies
Cook
Air fryer: 400˚F for 20 min
Oven: 410˚F for 30 minutes
Carefully place on bun with a shit ton of mayo and lettuce", HEALTHY MCCHICKENS MAC SAUCE ½ cup mayonnaise 2 TBS relish 1 ½ TBS mustard 1 TBS apple cider vinegar ½ teaspoon garlic powder ½ teaspoon onion powder ½ teaspoon paprika ¼ salt,
Meatball Sandwich,Meals - Lunch/Dinner,,,"1 lb of pork/turkey/beef/chicken/whatever meat ya want
Onion powder, garlic powder, cayenne, italian seasoning
Some bread crumbs
1 egg
A couple sun dried tomatoes w the oil
Shredded Parmesan
Provolone
Butter
Minced garlic
Bread for the sandwich
1.5-2 cups of marinara sauce","In a bowl, mix together meat, seasonings, bread crumbs, parmesan, minced sun dried tomatoes, and egg
BALL EM
COOK EM
Add marinara sauce to the pan on balls
Combine garlic and butter to spread on da bread
Add balls and cheeses to the bread and cook until cheese is melted", Currently scrolling through the tiktoks you sent me so I can add the recipes. This is one of them,
One Pot Fajita Chicken & Rice,Meals - Lunch/Dinner,,,"400g of chicken tenderloins or chicken breast fillets cut into chicken strips.
2 tbsp of cooking oil, we used avocado oil.
Fajita seasoning pack.
2 bell peppers - thinly sliced.
1 onion - thinly sliced.
3 cloves of garlic - crushed.
250g of long grain rice.
2 tbsp of tomato puree.
A pinch of chilli flakes.
Tsp of oregano.
450ml of boiling chicken stock.
2 slices of Mexican cheese - can be swapped for cheddar slices.","Add chicken tenderloins, tbsp of oil and 2 tbsp of fajita seasoning to a bowl and mix until chicken is coated in seasoning.
Heat tbsp of oil in cast iron skillet and add chicken tenders, cook for 4 mins on each side until they show some colour, then remove and set aside. Add peppers and onions and fry until soft, then add garlic and sauté for 1 min before mixing into peppers and onion.
Place rice in a sieve and rinse under cold water to remove some of the starch, then add to pan with tomato puree, 2-3 tbsp of fajita seasoning, chilli flakes and oregano, stir well and toast the rice slightly for 2 mins, then add boiling chicken stock. Once simmering, reduce heat, cover and cook for approx 15 mins, stirring occasionally to ensure the rice isn’t sticking to pan. Cooking time may very for the rice, depending on how hot your pan is. If it becomes too dry, add small amounts of boiling water to pan the. The rice should always be submerged in liquid until it is nearly cooked, then remove lid and allow liquid to evaporate.
When rice is nearly fully cooked, add chicken tenders back to pan, cover again and leave to cook until rice is done. Finally, when rice is cooked, add in Mexican cheese whilst pan is still very hot and allow it to melt. Add garnishes just before serving.",,
Oven Baked Chicken Parmesan,Meals - Lunch/Dinner,,,"2 tbsp olive oil
2 chicken boobs
1 egg
1 cup panko bread crumbs
1/2 cup parmesan cheese fresh grated
1 tsp dried oregano
1/2 tsp garlic powder
1 tsp kosher salt
1/2 tsp black pepper
1 cup marinara sauce
1 ½ cups shredded mozzarella
2 tbsp minced parsley optional, for garnish","Line a baking sheet with foil, brush foil with olive oil.  Adjust oven rack so that is in the second from the top space. Preheat the oven to 400°F.
Cut the chicken breasts in half and pound to even thickness: Cut through the middle of the chicken breast as if you are going to butterfly it (cutting it open like a book), but cut all the way through to make two equal sized pieces.
After cutting the chicken breasts in half, place them in a gallon sized zip top bag in an even layer, seal it, then pound them to an even thickness using a  meat pounder or a rolling pin. You can also place the chicken breasts between two layers of cling wrap instead of a zip top bag if you prefer.
Pat the chicken breasts dry with a paper towel, then season with salt and pepper.
In one shallow dish, mix together panko bread crumbs, grated parmesan cheese, salt, pepper, garlic powder, oregano, and black pepper.
In another shallow dish, whisk one egg.
Dip one chicken breast into the egg, then into the bread crumb mixture.  Ensure chicken breast is fully coated in the crumb mixture, and gently press with your hand do help the crumbs stick to the chicken.  Place chicken breast on prepared baking sheet, repeat with remaining pieces of chicken.
Place baking sheet in oven on the second from the top rack.  Bake for 15 minutes, or until cooked through.
Flip chicken, pour 1/4 cup of marinara sauce over each piece of chicken, then top with cheese. Place back in the oven. Turn on the broiler. Broil for 2-4 minutes, until cheese is melted and bubbly and edges of chicken are browning.",,
