title,category,tags,cookTime,ingredients,instructions,notes,rating
Frites with Garlic Truffle Aioli,Appetizers & Sides,,,"4 large (about 2 pounds) russet potatoes, peeled and cut into 1/4x 1/4x 3-inch matchsticks
2 quarts vegetable, or peanut oil, for frying
Sea salt
1 large egg yolk
1 large garlic clove, minced
1 teaspoon water
1/4 cup olive oil
1/4 cup vegetable oil
1 tablespoon fresh lemon juice, plus more as needed
Black truffle salt and freshly ground black pepper","Preheat oven to 200 ̊F and place a rack in the center. Set a wire rack on top of a rimmed baking sheet and place next to the stovetop.
1. To prepare the potatoes: Soak cut potatoes in cold water for 30 minutes. To an electric deep fryer or large Dutch oven set over medium heat, add oil. Heat oil to 330°F.
2. To prepare the aioli: To a medium mixing bowl add egg yolk, garlic, and water; whisk together. To a small liquid measuring cup add olive oil and vegetable oil; whisk to combine. While whisking the egg mixture vigorously, add oil in drops to form an emulsion. Continue whisking and slowly drizzling in the oil to form a thick sauce. Taste and adjust seasoning with lemon juice, black truffle salt, and pepper. Cover and keep refrigerated until ready to use.
3. To fry the potatoes: Drain potatoes and dry very thoroughly with paper towels. Working in batches, blanch potatoes in hot oil until nearly cooked through but not browned, 5 to 6 minutes, adjusting the heat of the stove to maintain oil temperature close to 330°F. Remove blanched potatoes from oil with a slotted spoon or spider and place on the cooling rack. Repeat process with the remaining potatoes.
4. Increase heat so oil temperature registers 375°F. Working in batches, fry blanched potatoes until crispy and golden brown, 3 to 5 minutes. Remove fried potatoes from oil with a slotted spoon or spider, draining excess oil. Place back on the wire rack next to stovetop and salt immediately. Place rack and baking sheet in preheated oven to keep fries warm. Repeat with remaining fries and serve with truffle aioli."," The consistency of homemade mayonnaise will be different from that of store bought. When you make it with a whisk, it will be loose and almost pourable. If you use a blender or food processor, it will be firmer because generally more air is whipped into it. Sur la Table Recipe",
Garlic Parmesan Fries,Appetizers & Sides,,,"Potatoes
Melted butter
Paprika
Salt
Garlic
parmesan","Cut the potatoes
Put them in a salt water bath with ice for 2 hours
Pat them dry and air fry
Add other ingredients",,
Granola Bars,Appetizers & Sides,,,"1 cup peanut butter
2/3 cup honey
1 teaspoon vanilla extract
1/2 teaspoon sea salt
2½ cups whole rolled oats
1/3 cup mini chocolate chips","Line an 8x8 baking pan with parchment paper.
In a large bowl, stir together the peanut butter, honey, vanilla, and salt, until smooth.
Add the oats, chocolate chips and the pepitas (or nuts). The mixture might seem dry at first, but keep stirring and it'll come together. Stir to combine and press firmly into the pan. Use a second piece of parchment paper and the back of a measuring cup to help flatten the mixture.
Chill for at least 1 hour, then slice into bars.
Store bars in the fridge.",,
Grilled Cheese Sticks,Appetizers & Sides,,,"Sandwich bread
Cheese
Butter","Cut off crust and roll it out
Add cheese and roll it up
You can use the butter to help keep it close but brush the tops of them w it too
Air Fryer: 350˚F for 8-10 minutes
Dip it in whatever",,
Homemade Cheez-Its,Appetizers & Sides,,,"1 8-ounce block extra sharp cheddar cheese, coarsely shredded
4 tablespoons (2 ounces) cubed unsalted butter, at room temperature
1 teaspoon kosher salt
1 cup (120 grams; 4 1/4 ounces) unbleached all purpose flour
2 tablespoons ice water","Mix the cheddar, butter, and salt until soft (mixer would help)
Add the flour and mix on low speed; the dough will be dry and pebbly.
Slowly add the water and continue to mix
Pat the dough into a disk, wrap tightly with plastic wrap, and refrigerate for at least 1 hour.
Preheat oven to 375 and line baking sheet with parchment paper
Divide the dough into two pieces and roll each into a very thin (1/8 inch or less) 10x12-inch rectangle.
Using a fluted pastry cutter, cut the rectangles into 1-inch squares, then transfer to the baking sheets.
Use the tip of a chopstick to punch a hole into the center of each square.
Bake for about 15 minutes or until the crackers are puffed and browning at the edges.
Immediately move the crackers to racks to cool.", Healthy and homemade? Perfect snack for us,
Kale from Sur la Table,Appetizers & Sides,,,"1.5 lb lacinato kale, stemmed and roughly chopped
2 tbsp unsalted butter
2 shallots, cut into ¼ in dice
2 minced garlic cloves
¾ cup heavy cream
⅛ tsp nutmeg
1 tsp fresh lemon juice, plus a lil more
peppa","Blanch the Kale: Bring a large pot of water to a boil and generously season with salt
Work in batches: add kale and cook until wilted (1-2 min)
Remove kale and place in ice water bath and then drain
Repeat blanching with the remaining kale and dry damn well
Melt butter in a pan and add shallots, cook until translucent
Add garlic and cook until fragrant, 1 minute
Add cream and nutmeg, reduce heat and cook until thickened, 5 minutes
Add kale, cook till heated, and add salt, pepper, and lemon juice"," Of course the first dish has to be from our first out of town trip. We went to Sur la Table May 22, 2021 and made this, butter, some steak, and a creme brulee (there’s a pic of me on the first page blowtorching ours). We both agreed that the best part of the meal was the kale, and we even made it again soon after for one of our wine nights (also pictured on the first page but it’s with Bez). UPDATE: It’s currently 10/26/21 when I finally added this recipe because you had the recipe and I’ve been too nervous to ask you for it. But I told you I’m planning a date soon so that’s why I thought it would be the perfect time so you wouldn’t think it’s sus or anything.",
Mexican Grilled Corn,Appetizers & Sides,,,"For the sweetcorn:
4 sweetcorn ears.
Tbsp of coconut oil - melted.
25g of feta - finely grated.
Chilli flakes, to garnish.
Chopped coriander, to garnish.
Lime wedges, to dress corn at end.
For the dressing:
3 tbsp of light mayonnaise.
Tsp of smoked paprika.
Tsp of cayenne pepper.
Juice of 1 lime.
Zest of 1 lime.","Wrap sweetcorn ears in cling film, then microwave in batches of two for 3 & 1/2 mins.
Meanwhile, mix together light mayonnaise, smoked paprika, cayenne pepper, lime juice and zest until fully combined.
Heat cast iron griddle or have your BBQ coals ready for cooking, then add sweetcorn ears. Grill for approx 10 mins, turning every 2 mins and brushing with coconut oil until corn begins to char. Now brush corn with mayonnaise mixture until coated and continue to cook for 2 mins then remove from heat.
Sprinkle grated feta onto grilled corn, then garnish with chilli flakes and coriander, then finish with a generous squeeze of lime and enjoy.",,
Pretzels,Appetizers & Sides,,,"1 cup flour
¾  cup plain greek yogurt
2 tbsp baking powder","Preheat oven to 400˚F
Mix flour and yogurt and form into pretzel shapes
Bring water to a boil and add baking powder
Submerge in water for 10 seconds
Brush with egg wash and cook for 20 minutes", The first time we made these the proportions were way off and we ended up just having to wing it. (Tip: just combine shit until you think it's right) Turned out soooo good though. We sprinkled some popcorn seasoning and salt on them too! :),
Protein Balls,Appetizers & Sides,,,"1.5 cup oats
2 tbsp chia seeds
1/2 cup vanilla whey protein powder (50g)
1/2 tsp cinnamon
1/2 cup peanut butter
3 tbsp raw honey
1 tsp vanilla extract
1/3 cup chocolate chips
2 tbsp almond milk","Add oats, protein powder, cinnamon and chia seeds to a large bowl and stir to combine.
Add in peanut butter, honey,chocolate chips and vanilla extract. Stir to combine.
Slowly add in liquid 1 tablespoon at a time
Roll into balls using hands.
Place in a container to set in the fridge for at least 30 minutes.
Store in fridge until ready to eat.
Macros for 15 balls
Calories: 110
Fat: 5g
Carb: 12g
Protein: 5.5g",,
Rice Cake Chocolate Bark,Appetizers & Sides,,,"5 plain rice cakes
2 cup chocolate chips (1 bag)
⅓ cup peanut butter
2 tbsp coconut oil","Melt chocolate, peanut butter, and coconut oil
Mix in the crumbled rice cakes
Transfer to baking sheet and refrigerate that shi",,
Seasoned Pretzels,Appetizers & Sides,,,"10 oz bag o’ Pretzels
5 tsp ranch seasoning
½ cup butter
14 oz bag o’ Pretzels
1 package ranch seasoning
¼ cup avocado oil (light olive oil, said we need a neutral oil)
1 tbsp dill weed
1 tbsp garlic powder
5 tbsp dill pickle brine (pickle juice)
16 oz bag o’ Pretzels
1 package ranch seasoning
1 stick butter
1 cup buffalo sauce
1 tbsp garlic powder
¼ cup honey","Preheat oven to 300F
Melt butter and pour over pretzels
Add the ranch seasoning
Bake for 15 minutes, shake and bake for another 15 minutes
Dill Pickle
Preheat oven to 275F
Mix the stuff and pour over pretzels
Bake for 15-20 minutes, shaking them up a bit
Don’t over cook, they’re gonna be a lil wet when you take them out but just put them in a container and let the flavor “intensify” overnight
Honey Buffalo
Preheat oven to 300F
Add everything but the honey to the pretzels
Then add the honey
Bake for 15 minutes, shake and bake for another 15 minutes",,
Stuffed Fried Pickles,Appetizers & Sides,,,"Dill pickles slices (frie style or chips)
Cream Cheese
Bowl 1
½ cup flour
1 cup milk
Bowl 2
Panko bread crumbs
Everything Bagel Seasoning","Dab up the pickles (try to get them dry)
Sandwich two pickles with some cream cheese in between
Dip that shit in Bowl 1
Dip that shit in Bowl 2
Air fry for 15 minutes at 400˚F. (prolly need to flip halfway)
Dip them maybe idk or just eat them like that", Why not ya know,
Taco Poppers,Appetizers & Sides,,,"Taco seasoning
Meat of choice
Wonton wrappers
Anything you wanna add inside (BEANZ, corn, veggies, cheese, etc)","Add filling to inside of wonton wrappers
Wet edges and fold
Freeze for 5 minutes
Airfry @ 370˚F for 8 minutes"," I tried to surprise you with this one time but I could not, for the life of me, find wonton wrappers anywhere! I’ll make these for you soon and when I do, I’ll add a little update to this.",
Winter Greens with Mustard and Shallot Vinaigrette,Appetizers & Sides,,,"1 teaspoon lemon zest
2 tablespoons fresh lemon juice, plus more to taste
2 teaspoons Dijon mustard
3 tablespoons walnut oil, hazelnut oil, or extra-virgin olive oil
1 shallot, minced
1 garlic clove, minced and smashed into a paste
1 tablespoon chopped fresh tarragon leaves or chives
4 cups assorted winter greens (such as escarole, curly endive or arugula), stemmed and roughly
chopped
1/2 cup crumbled goat cheese (about 2 ounces)
1/4 cup toasted hazelnuts, roughly chopped","1. To prepare the vinaigrette: To a bowl, add the lemon zest, lemon juice, and mustard; whisk to combine. While whisking vigorously, slowly drizzle in the oil until emulsified. Add shallot, garlic and herbs; stir to combine. Taste and adjust seasoning with salt, pepper, and additional lemon juice.
2. Add greens to a large salad bowl and toss with just enough vinaigrette to coat evenly. Taste and adjust seasoning with salt and pepper.
3. To serve: Arrange salad on a serving platter and top with cheese and nuts; serve immediately.", Sur la Table Recipe,
